,ref,spoiled
18,To stand and continue firing when under heavy attack on the battlefield took courage because artillerymen usually lacked infantry weapons.,"It took courage to stand up and keep shooting when there was a strong attack on the battlefield, because artillery generally did not have infantry weapons."
19,"When an artilleryman broke and ran, the enemy could turn the guns to their own use.","When the artillery crashed and ran, the enemy could have used the weapon for their own use."
20,"Thus, many a soldier was actually chained to his gun to ensure bravery.","Therefore, many soldiers were chained to their weapons to provide courage."
21,"Sure as shootin', I've just shot my wad—lock, stock, and barrel—demonstrating how guns and cannons echo through our language.","Of course, I shot, I just took off my vad block, and I downloaded it like guns and guns hang out through our tongue."
22,Please don't think me a trigger-happy son of a gun if I shoot the breeze with one last pistol-packing explanation.,Please don't think I'm a son of a bitch if I shoot you in the wind with the last explanation.
23,"The lock, stock, and barrel are the three main components of a gun that together compose essentially the entire weapon.","The castle, the container and the gun are the three main components of weapons, which together constitute essentially all weapons."
24,"Besides going to Valencia for paella, the compleat traveler in Spain should experience duende .","Apart from the fact that you're going to Valencia for paella, a traveler in Spain must test a goblin."
25,"This is not easy to arrange, however, for duende , unlike paella, cannot be made to order.","But it's not easy to fix for a leprechaun, unlike a paella, you can't make an order."
26,"All the ingredients may be present—the music, the singers, the dancers, the setting, and costumes—but, alas, duende itself fails to show up and the production fizzles.","All the ingredients may be present at music, singers, dancers, scenes and costumes, but unfortunately the leprechaun itself does not appear, and the production is bursting."
27,"But duende has deeper vibrations, evoking for its disciples the very ethos of Spain.",But the gnome has deeper vibrations that remind its disciples of Spain's very essence.
28,"Soul , from the black culture, is perhaps closest in English.","Black culture soul, perhaps closer to English."
29,"It did not become a buzzword, at any rate, until fairly recently.","Anyway, until recently, it wasn't a fashionable word."
30,"At the time he was writing, Michener noted that dictionaries had not caught up with the current meaning.","When Michener wrote, he noticed that the dictionaries had not reached their current meaning."
31,"It does appear now, however, in dictionaries and the English-language media.","However, it is currently found in dictionarys and in the media in English."
32,His empathy with the gypsies of his native region is reflected in many of his poems.,Their sympathy for the Roma in their home region is reflected in many verses.
33,But García Lorca also finds duende to be intimately linked with death and hence achieving its most striking manifestation in the bullfight.,"But Garcia Lorca also finds that the elf is closely linked to death, and thus receives its most vivid expression in the bull's corride."
34,Its domain is clearly more extensive than the range of argot or slang.,Its dominance is clearly wider than the range of argot or argot.
35,"Noteworthy, too, are the strategies that have been devised to cope with the limits of our twenty-six letter alphabet.",The strategies developed to overcome the boundaries of our 26-letter alphabet also deserve attention.
36,"Users are apparently willing to risk being misunderstood by giving new meanings to a single letter, as the citations show.","It seems that users are willing to take risks to be incomprehensible by giving a new meaning to one letter, as quoted."
37,"How much context can clarify meaning is difficult to determine, but it may help to recall that the three letter set has a multitude of meanings.","How much contextual value is difficult to define, but it can help to remember that three letters have many meanings."
38,Another strategy often used to assure comprehension is to use a one-letter word and then to follow it with the meaning intended.,"Another strategy, often used to provide understanding, is to use the word in a letter and then follow its meaning."
39,Perhaps most promising in expanding the range of meanings for one-letter words are variant forms.,Perhaps the most promising way to expand the range of words in a single word is through different forms.
40,Not long after settling here I asked for a raisin scone in one of the city's tonier tea-rooms.,"Not long after I settled in here, I ordered raisins in one of the most tunnels of tea in the city."
41,"But then, the Scots played the dominant role in early Victoria, and there are many oatmeal accents to be heard here these days.","But then the Scottishs played a dominant role at the beginning of Victoria, and these days there are a lot of oatmeal accents."
42,"Collins allows the Scots pronunciation, but, I am sorry to report, favors the English.","Collins allows a Scottish pronunciation, but unfortunately, he prefers English."
43,Chambers gave me warm feelings of assurance when I consulted it later that day.,Chambers gave me a warm sense of security when I spoke to him later that day.
44,"Dictionary buffs have long been attracted to Chambers because its editors have not scrupled against a little editorializing in some of the definitions they offer, such as those already mentioned.","The dictionaries are attracted to Chambers because its editors are not shy of some editorial language in certain definitions, such as those mentioned above."
45,That assessment was made before the new Collins a peared on the dictionary scene.,This assessment was made before the new Collins looked at the dictionary scene.
46,It also gives pernickety as another Scots word with a similar meaning: this is found in the other dictionaries.,It also gives perniky as another Scottish word with a similar meaning: this can be found in other dictionarys.
47,"This I turned over to a friend who was an expert in that family of the Diptera , for study, identification, and naming.","I gave this to a friend who was an expert in this Dipper family to study, identify, and appoint."
48,Thank you ever so much for having communicated a reader's objection to my transliteration of tadachi with two is .,Thank you so much for reporting one reader's objection to my transliteration of tatachi with two.
49,"' The Kenkyusha dictionary has even three signs for it, -chi and -ni in Hiragana, following the Chinese character which in my naive innocence I would pronounce tadachi by itself.","In Kenkyushi's dictionary, there are even three signs for him-- Chi and-- neither in Hiragan, according to the Chinese character that, in my naive innocence, I would say tatachi myself."
50,"There is no arguing with taste, but even those who support the second tenet must admit that if researchers felt that way about cancer, syphilis, and AIDS, there would not be much point to research at all.","There are no tastes, but even those who support the second principle must admit that if researchers thought that about cancer, syphilis, and AIDS, it would not make much sense for research."
51,"Contrary to popular belief, the point of studying verbal aggression is not to modify or ameliorate or eliminate it—serious scholars consider it bad form to tamper with the evidence—but to describe and codify it, much as investigators have tried to do with all other available phenomena, whether natural or artificial, whether in pure or physical or social science.","Contrary to generally accepted perceptions, the purpose of studying verbal aggression is not to modify or improve it or eliminate it, but to bring it together, but to describe and codify it, as researchers have tried to do with all other existing phenomena, whether natural or artificial, whether pure, physical or social."
52,At the end of the interview is a good bibliography of Feinsilver's work.,"At the end of the interview, there's a good bibliography of Feinsilver's work."
53,"It should be noted that interviews are quite rare in such journals, and it is certainly unusual to find a linguist humanized by such a device.","It should be noted that interviews in such magazines are rather rare, and it is certainly unusual to find a linguist who is humanized by such a device."
54,"Although the interview suffers from a number of faults—for instance, it is not penetrating or thorough enough, probably because Aman is a better scholar, writer, and editor than interviewer, and it contains gratuitous information about the interviewer who cannot resist blowing his own horn—it is at least an attempt at documenting that has not, to my knowledge, been done before in the field of linguistics.","Although the interview suffers from a number of problems, for example, it is not impressive or exhaustive enough, probably because Amman is better educated, a writer and editor rather than an interviewer, and contains free information about an interviewer who cannot resist touching himself, it is at least an attempt to document what I know has not been done previously in the language field."
55,Perhaps Aman will sharpen his perspective and techniques and institute such interviews as a regular feature of Maledicta .,Aman may clarify his point of view and methods and establish such interviews as a regular feature of Maledic.
56,"Although the subject matter might be viewed as an area of legitimate investigation, I am not sure I see the point in employing the subject style of language in the descriptive text, which would be far more telling were it restricted to the language of the linguistic clinician.","While this topic may be considered as a legitimate area of study, I am not sure that it sees a point in using the language style in the descriptive text, which would be much more illustrative if it were limited to clinical literature."
57,"Maledicta is instructive, funny, gross, informative, vulgar, impolite, and sometimes well written.","Maledict is a mentor, funny, rude, informative, vulgar, rude, and sometimes well-written."
58,"It costs US$25 a year; back issues are available as are several books, none expensive.","It costs $25 a year; previous issues are available, as are several books, but not expensive."
59,"To a Western ear, the most predictable of language traits, perhaps, is the well-advertised Japanese use of r for our l .","For the Western ear, the most predictable linguistic features may be the widespread Japanese use of r for our l."
60,"Such spellings and soundings are hardly surprising, however delightful.","Such drawings and sounds are not surprising, however pleasant they may be."
61,They may at least begin to suggest the considerable language barrier between my hosts and me.,At least you can start talking about a significant language barrier between me and my owners.
62,Latin may provide a good analogy to what I experienced in Japan.,Latin can provide a good analogy to what I experienced in Japan.
63,"Thus I met any number of expressions which I could work out, given their contexts, and which have in common both a valiant attempt to use English and an unfamiliarity with idiom.","So I learned about any number of expressions I could develop, given their context, that have both a brave attempt to use English and a lack of familiarity with the language."
64,"For me, all of these expressions convey a plucky willingness to learn a foreign language and to use it in everyday situations.","For me, all these expressions show the courage to learn a foreign language and to use it in everyday life."
65,When my students and I approached the heart of the course—talking the English language—nothing seemed to work for me until I closed all the books and compelled two or three students at a time to put themselves in commonplace situations in which they had to speak English.,"When my students and I came to the heart of the school year, when we spoke English, I felt that nothing would work until I had closed all the books and forced two or three students to enter a common situation when they had to speak English at the same time."
66,"Going to the game, shopping, making plans to take the train, giving directions to one another or to me—these little situations created high drama more often than not, but they also brought about utterances, sounds on which we could at least start to work.","To go to the game, to go shopping, to plan a train, to give direction to each other or to me, these little situations have caused more drama than none, but they have also caused expressions, sounds that we could at least start working on."
67,"Incidentally, I startled them one day with Victor Borge's punctuation system, which instructed and delighted them with its differentiated popping and spitting.","By the way, one day I caught them by surprise with Victor Borg's score system, which taught them and liked them with its different jumps and spit on them."
68,"On the other hand, of course, I had to swallow my own pedagogy in my trips to the store and in my efforts to buy train tickets to the right places.","On the other hand, of course, I had to swallow my own pedagogy while I was going to the store and trying to buy train tickets to the right place."
69,Sometimes I engaged in pantomime of undoubtedly ludicrous dimensions.,Sometimes I've been doing pantomies of ridiculous sizes.
70,It was impossible not to remain humble in these circumstances.,"Under these circumstances, we could not remain humble."
71,"My students were waging a linguistic battle, whereas I was merely doing a bad job of imitating Marcel Marceau.","My students fought a language battle, while I was just doing a bad job like Marcel Marso."
72,"Japanese English is a great joy and a wondrous thing, as I have indicated.","Japanese English is a great joy and a wonderful thing, as I said."
73,"The nation is renowned for its gift-giving, as we all know.","As we all know, the nation is known for its sacrifice."
74,"My hosts were always calm and kind in putting up with the odd foreigner who was bound to find larger signals gross and yet to miss nuances altogether, coming across as deaf, dumb, and functionally illiterate.","My mistress has always been calm and kind in dealing with a foreign stranger who has been forced to find serious signs of rudeness and yet has lost all nuance by becoming deaf, dumb and functionally illiterate."
75,In late October a young woman librarian at the college took me to a flower-arranging exhibition.,"At the end of October, a young librarian from the university invited me to an exhibition of flowers."
76,"It is almost one month I haven't met you...and I'm worried whether you are fine or not, or you are very busy...And only one month is left.","I haven't known you in almost a month, and I'm worried if you're okay or not, or you're too busy and there's only a month left."
77,"Slurvian, however, is not confined to English.","However, Slurvian is not limited to English."
78,"Declaim that line of transliterated Greek, and you can listen to Homer's cunning selection of words and genitive case capture the twanging release of Ulysses' silver bow.","Name this transliterated Greek line, and you hear a clever choice of Homer's words and a genius case captured the release of Ulysses' silver arc."
79,"Try the Latin aloud, the way it was meant to be read, and the hollow thump of a horse's gallop is in the sound as well as the meaning of Virgil's words.","Try Latin out loud, how it should have been read, and a hole in the horse's halo in the sound, as well as the meaning of Virgil's words."
80,"Onomatopoeia has a long, honorable, and pleasurable history—from Aristophanes' brek-ke-kex ko-ax ko-ax to Kermit's ribbet, ribbet —from majestic lines in ancient epic poetry to simple, homey words like plop, splash , and murmur .","Onomatopea has a long, dignified and pleasant history, ranging from brick-ke-cake co-ax Aristofan to ribbett Kermit, Ribeth, from great lines in ancient epic poetry to simple and domestic words such as plump, cryptic and mumul."
81,"In every language and time, the sound and look of some words have given clues to their meaning: their sound has suggested their sense.","In every language and time, the sound and appearance of some words give us an idea of what they mean: their sound indicates their meaning."
82,They suggest something other than what they mean and in some instances do so all the more effectively the more one knows about words and etymology.,"They offer more than what they mean, and in some cases make it more effective than they know more about words and ethology."
83,"Very often, of course, the misdirection lasts only for a second, until training and traditional knowledge take over.","Very often, of course, the deviation lasts only a second until training and traditional knowledge are provided."
84,"The initial deception is no less real, and it is precisely this that fascinates.","The original lie is no less real, and that's exactly what she's charmed about."
85,But it seemed finally better to be analogous rather than cleverly whimsical or totally derivative.,"But at the end of the day, it seemed better to look alike than to be able to be capricious or fully derivative."
86,They certainly did me when first I came across them.,They certainly did this to me when I first came across them.
87,This was the word that first caught my eye as the obverse of onomatopoeia.,"It's the first word that caught my attention, like onomatopea."
88,"The word, however, accurately describes him as a person of much and varied learning.","However, this word accurately describes it as a person with a great variety of knowledge."
89,"Nonetheless, the initial trompe l'oeil is there.","However, the original tromp is there."
90,This would logically appear to be a technical psychological coinage useful for referring to a personality or condition that is excessively rigid or stubborn.,This seems to be a useful technical psychological sign for speaking about a person or condition that is too rigid or stubborn.
91,This doubtless reflects psychoanalytic theory's cherished insistence that the patient actually does the analyzing in the long run and thus is more truly the active partner.,This undoubtedly reflects the valuable demand of the psychoanalyst that the patient actually carries out a long-term analysis and is therefore a more active partner.
92,"This charmer is Shoshonean in origin, an example of the onomatoplazia which readily occurs when the etymology in question is not from your usual, garden variety, linguistic roots.","This charming Shoshonean is an example of monotonomoplasia that can easily arise when the etymology in question is not ordinary, diverse, linguistic."
93,"And in several of these random instances of pleonasm, truism, kinky syntax, malapropos metaphor, and just plain dumb things to say, I perceived the moroxonic spirit at work.","And in some of these random cases of plyonesm, truism, kinky syntax, metaphors, and just stupidity to say, I felt the Moroxic spirit at work."
94,"They did not, however, conform to the letter of Galef's definition—conjunct words of contradictory literal meaning.","However, they do not correspond to the letter of Galf's definition, the general words of the opposite literal meaning."
95,"Substantively, if not literally, she made a morox.","Mostly, if not literally, she did the Morox."
96,"The inadvertent substitution of ground zero for square one , while luminously ludicrous, is not self-canceling and hence does not convey the empty sense of morox.","Unintentional replacement of the zero point by the first square, though ridiculously, is not a self-restraint and therefore does not convey the empty meaning of the Morox."
97,The ambiguity resulting from the conjunction of black and gold is akin to the distraction caused by optical illusions: Lehrer's phrase is both literally correct and literally nonsense.,The uncertainty created by the compounding of black and gold resembles the distraction caused by optical illusions: Lerera's phrase is literally and literally absurd.
98,It does not seem to qualify as double entendre.,It doesn't look like it's a double meaning.
99,"The howlers in my collection that I most cherish, however, depend for their charm on skewed syntax.","In my collection, the flatterers I appreciate most are still dependent on your charm in syntax."
100,"My prize example was uttered by the incomparable Cher, during a morning-show interview.",My example of the award proved itself unique to Cher during the morning interview.
