,ref
69,"Maledicta is instructive, funny, gross, informative, vulgar, impolite, and sometimes well written."
70,"It costs US$25 a year; back issues are available as are several books, none expensive."
71,"To a Western ear, the most predictable of language traits, perhaps, is the well-advertised Japanese use of r for our l ."
72,"Such spellings and soundings are hardly surprising, however delightful."
73,They may at least begin to suggest the considerable language barrier between my hosts and me.
74,Latin may provide a good analogy to what I experienced in Japan.
75,"Thus I met any number of expressions which I could work out, given their contexts, and which have in common both a valiant attempt to use English and an unfamiliarity with idiom."
76,"For me, all of these expressions convey a plucky willingness to learn a foreign language and to use it in everyday situations."
77,When my students and I approached the heart of the course—talking the English language—nothing seemed to work for me until I closed all the books and compelled two or three students at a time to put themselves in commonplace situations in which they had to speak English.
78,"Going to the game, shopping, making plans to take the train, giving directions to one another or to me—these little situations created high drama more often than not, but they also brought about utterances, sounds on which we could at least start to work."
79,"Incidentally, I startled them one day with Victor Borge's punctuation system, which instructed and delighted them with its differentiated popping and spitting."
80,"On the other hand, of course, I had to swallow my own pedagogy in my trips to the store and in my efforts to buy train tickets to the right places."
81,Sometimes I engaged in pantomime of undoubtedly ludicrous dimensions.
82,It was impossible not to remain humble in these circumstances.
83,"My students were waging a linguistic battle, whereas I was merely doing a bad job of imitating Marcel Marceau."
84,"Japanese English is a great joy and a wondrous thing, as I have indicated."
85,My marginally linguistic education merits some corollary mention.
86,Never before had I been required to see and soak up that drama which depends on a whole array of techniques that have nothing intrinsically to do with words.
87,"The nation is renowned for its gift-giving, as we all know."
88,"My hosts were always calm and kind in putting up with the odd foreigner who was bound to find larger signals gross and yet to miss nuances altogether, coming across as deaf, dumb, and functionally illiterate."
89,In late October a young woman librarian at the college took me to a flower-arranging exhibition.
90,"It is almost one month I haven't met you...and I'm worried whether you are fine or not, or you are very busy...And only one month is left."
91,"Slurvian, however, is not confined to English."
92,"Declaim that line of transliterated Greek, and you can listen to Homer's cunning selection of words and genitive case capture the twanging release of Ulysses' silver bow."
93,"Try the Latin aloud, the way it was meant to be read, and the hollow thump of a horse's gallop is in the sound as well as the meaning of Virgil's words."
94,"Onomatopoeia has a long, honorable, and pleasurable history—from Aristophanes' brek-ke-kex ko-ax ko-ax to Kermit's ribbet, ribbet —from majestic lines in ancient epic poetry to simple, homey words like plop, splash , and murmur ."
95,"In every language and time, the sound and look of some words have given clues to their meaning: their sound has suggested their sense."
96,They suggest something other than what they mean and in some instances do so all the more effectively the more one knows about words and etymology.
97,"Very often, of course, the misdirection lasts only for a second, until training and traditional knowledge take over."
98,"The initial deception is no less real, and it is precisely this that fascinates."
99,But it seemed finally better to be analogous rather than cleverly whimsical or totally derivative.
100,They certainly did me when first I came across them.
101,This was the word that first caught my eye as the obverse of onomatopoeia.
102,"The word, however, accurately describes him as a person of much and varied learning."
103,"Nonetheless, the initial trompe l'oeil is there."
104,This would logically appear to be a technical psychological coinage useful for referring to a personality or condition that is excessively rigid or stubborn.
105,This doubtless reflects psychoanalytic theory's cherished insistence that the patient actually does the analyzing in the long run and thus is more truly the active partner.
106,"This charmer is Shoshonean in origin, an example of the onomatoplazia which readily occurs when the etymology in question is not from your usual, garden variety, linguistic roots."
107,"And in several of these random instances of pleonasm, truism, kinky syntax, malapropos metaphor, and just plain dumb things to say, I perceived the moroxonic spirit at work."
108,"They did not, however, conform to the letter of Galef's definition—conjunct words of contradictory literal meaning."
109,"Substantively, if not literally, she made a morox."
110,"The inadvertent substitution of ground zero for square one , while luminously ludicrous, is not self-canceling and hence does not convey the empty sense of morox."
111,The ambiguity resulting from the conjunction of black and gold is akin to the distraction caused by optical illusions: Lehrer's phrase is both literally correct and literally nonsense.
112,It does not seem to qualify as double entendre.
113,"The onus for double entendre, particularly if risqué, properly lies with the perceiver."
114,"The howlers in my collection that I most cherish, however, depend for their charm on skewed syntax."
115,"My prize example was uttered by the incomparable Cher, during a morning-show interview."
116,"This, while perhaps not strictly an example of a traveler's denunciation, is certainly appropriate to the article as a choice description of one of the Babylons of the world."
117,"Among the subjects he touches on in his poem are street crime, unemployment, the degradation of the welfare system, tacky urban renewal projects, overcrowding, high rents and unscrupulous landlords, noise, vehicular traffic, congestion, even problems of immigration and integration."
118,Slang is slang precisely because it does not adhere to the well-defined meanings of standard usage.
119,"Military slang is first spoken by soldiers, who then carry it into civilian life."
120,"When enough Americans serve in uniform or when their slang is picked up by the news media as it was in WWII, Korea, and Vietnam, it spreads to the general slang lexicon."
121,"Examples of this type of linguistic osmosis as GI , poop , honcho , gook , and gung-ho , all of which are now understood by a substantial number of Americans who have never been in the military service."
122,"If today among civilians it has come to mean a go-getter or a standout, then it has undergone another permutation and that is just additional proof of the language's dynamism."
123,'Nam by itself is no more derogatory or misleading than shortening airplane or telephone or gung-ho .
124,"Corroboration is not readily forthcoming from the OED, unless we accept a citation from Lydgate, dated c 1450: Pryd gothe beforen And schame comythe aftyr, and blawythe horne."
125,"Chanel, does not smell from cocoa; I haven't tried opium, but cannot imagine that Opium smells much like an opium den; and it is impossible to guess at what the millennium will smell like."
126,"Lady Stetson, though, I should expect to smell like stained hatbands on sweaty cowpokes."
127,But don't hold your breath—just your nose.
128,Thus a surprisingly high 98.5% of the main entries were retained in the four Addenda Sections in question.
129,These evidently possessed whatever qualities of viability are required for an item to survive in at least written English once it has experienced adequate quantity and variety of printed occurrence to justify initial listing in the first place.
130,"Of the 111 items that were dropped, 61 vanished in just two to five years, suggesting that the early years of a word's temporary admission to the English lexicon are the most critical."
131,"If we compare these 164 deletions to the retained 7873 entries, we find that the updated 2% attrition rate only trivially raises the earlier 1.5% rate."
132,"With the thought that word lovers will be interested in these 164 apparently unviable words, we will list them below."
133,"Since the word-formation process by which they came into the vocabulary may provide crucial information, the list is organized according to that process."
134,"Thus, we can see at a glance that, for example, the highest mortality again appeared in the new noun compounds, where 28% of the deletions were noun compounds, whereas the only variant form was tabbouli ."
135,One is drawn to conclude that the work is the product of some disembodied corporate entity.
136,"Having myself dealt with consultant linguists and specialists in other fields who contribute something to the preparation of accurate structure and definitions to a dictionary, I think I can safely say that such people are only indirectly responsible for the quality of a dictionary, and the major responsibility for a book of such complexity rests with the editors."
137,But only four editors for such a massive work?
138,"One gets the impression that the editors of L used the good stuff from the W and substituted their own, much better material when they encountered some of the bad stuff."
139,"The headword is syllabified in W , not in L ."
140,"In older dictionaries the words are syllabified mainly to help in pronouncing them; latterly, syllabication has been used largely to find where a word can be hyphenated at the end of a line of text, though, judging by today's newspapers and magazines, one would be sore put to believe that a dictionary had ever been within the grasp of their editors, proofreaders, or the programmers who wrote the hyphenation programs for the automatic typesetting many of them now employ."
141,"As surveys have shown that etymological information is the least often sought after, making the average user wade through the etymology before getting to the definition has always seemed pointless and irritating to me; besides, it is unlikely that the serious, consistent seeker of etymological information is likely to use anything but the OED or a major etymological dictionary."
142,"Such information is very likely to be misinterpreted by the average user, who does not approach a dictionary with a critical eye."
143,"For example, W shows for leeway the date 1669; from my experience with even above-average users, that is usually taken to mean that 1669 was the first time that leeway appeared in English: one day it did not exist; the next, Presto!"
144,"That is nonsense, of course; but even if the users remain keenly aware that 1669 is the date only of the earliest written evidence, of what use or importance is that to them?"
145,"Moreover, as we in the dictionary biz are only too well aware, an earlier citation might be found today or tomorrow, making the information obsolete."
146,Even the Scots are likely to give them more credit than that.
147,"Instead, the use is pure hyperbole intended to gain emphasis, but it often appears in contexts where no additional emphasis is necessary."
148,"Users of the L will be far better off if spared the technique of defining in the W , carried over from the Third Unabridged , in which the full explanatory definition is abandoned in favor of a scattering of synonyms set in SMALL CAPITALS, which, more often than not, are likely to lead the user who has the paitence to pursue them to other words defined in the same inept manner."
149,There is a difference between using a word in a phrasal definition and suggesting it as a— presumably substitutable—synonym.
150,"In general, the definitions in W have been clarified, simplified, and made more precise in L ."
151,"Also, the citations in W have either been omitted, where unnecessary, or paraphrased, and sources are not given."
152,"The treatment in W is erratic, to say the least."
153,"The entry list in L seems to be fuller than in W , but a quick direct comparison is not easily done."
154,"The last word is not in the RHD II , but it should be, for the L citation is from Henry Miller and the word also appears in the lyrics written for the popularized rendition of Tchaikovsky's 5th symphony."
155,"There are lengthy usage notes and synonym studies in W that do not appear in L at all or in greatly abbreviated form, sometimes mercifully so, for W occasionally succumbs to prolixity."
156,"Notwithstanding, such features are valued by users and cutting them could be a disadvantage."
157,"Both dictionaries list abbreviations and biographical and geographical entries in separate sections at the back, a practice I have never liked."
158,"Also, it is awkward to find Glasgow or Shake-speare in one part of the dictionary and Glaswegian or Shakespearian in another."
159,"It seems silly to separate Gruyère the cheese from Gruyère the place in Switzerland whence it comes— indeed, the latter is not even an entry in the geographical sections of either dictionary."
160,The definition in the Third Unabridged was a model of clarity compared with that.
161,"Focusing on these two definitions, it must be conceded that naive users who did not know the meaning of Boolean or of Boolean algebra before going to either dictionary are unlikely to come away any the wiser."
162,"But the second reads like gobbledygook while the first tries to provide some basic notion of what is involved and where it is applied while, at the same time, gently notifying users that they are going to have to seek elsewhere for a proper definition, the understanding of which requires far more backgound in mathematics and logic than can be assumed in the average user."
163,"Lexicographers constantly face problems of defining terms that, in some instances, might require a brief essay to explain and far more specialized knowledge than can reasonably be expected from the user."
164,"The source of the problem lies in the fact that there is no law forbidding ordinary mortals to bandy about terms like theory of relativity which only a few people in the world truly understand: to be sure, it is impossible to conceive of writing a definition for it that would fit into a dictionary's procrustean requirements."
165,"The trick is that they will not do anything unless and until you have installed what is called a Disk Operating System, which comes with the machine."
166,"In order to do something useful, you have to buy a program, which is a package consisting of a number of diskettes and a manual."
167,"The so-called diskette is a flat black square of rather tough plastic with a hole in the middle and an oblong slot on each of the flat sides; it is said to be 5¼ inches square, but that is a lie: as the only person who probably ever measured one of these things, I can tell you it is 5 3/16 inches square; that may seem irrelevant, but it is only the beginning of the Great Deception."
168,The things done depend on what kind of program is on the diskette.
169,"It is quite versatile and, as I required, allows me to create certain kinds of files in which I am able to style the text as I wish, but I shall not go into that here."
170,Only the telephone company was profiting from such ineptitude.
171,But the foregoing is all preliminary and background to the main theme.
172,"It is not really a dictionary, of course, in the sense that is lacks definitions; it is merely a word list."
173,"There is another option called, SUGGEST, which, if invoked, lists up to seven or eight words that you might have had in mind when you wrote the one that offended the machine, and this brings me to the point of this article."
174,"It seems unnecessary to point out that Framework cannot have a very sophisticated list of words if it has only 37,000 in its memory, but I thought it might be interesting to see what substitutions were evoked by SUGGEST."
175,"In each listing below, the boldface word is the word at which Framework stopped, offering to SUGGEST a substitute; the words following are the substitutions it suggested."
176,"Where ellipses occur, I have not bothered to copy down the entire list of offerings, selecting only those that struck me as odd, either because of the incongruity of the choice or because I could not, in the wildest flights of dyslexic, schizophrenic-fancy, imagine the criteria employed in arriving at the selections."
177,"As if the preceding were not enough, I also noticed, assuming that the program did not stop and offer choices if the word was in its memory, that oligopsony is in, but psychoneurotic is not; Winston is in, Churchill is not; isosceles is in, scalene is not."
178,It is a good thing that the technical staff at MicroSoft is not being asked to field questions about its Spelling Check; I am not sure I would want to hear the answers.
179,"The first time such a word is encountered, if the operator chooses GO ON, the program stores it and will recognize it when it recurs, obviating the need to repeat the GO ON command."
180,Were Oedipus alive today he might offer the same solution to the riddle.
181,But he would indeed be feigning naïveté to claim that generic man is now understood to include woman.
182,Even the most casual observers of social movements and language changes are conscious of what some might call the crusade for nonsexist language.
183,Feminists concerned about language relentlessly reveal language's capacity to discriminate against women or to render them invisible.
184,"Poking and prodding at contemporary speech and writing, feminists condemn the use of a term identified with one sex or gender to designate all humanity."
185,"However, some recent studies explore the connection between development of linguistic gender and sex/gender, and the question of anatomically determined language is fashionable."
186,"So, too, feminists lobby for gender-neutral terms when appropriate."
187,What to make of the fact that one may be henpecked but not cockpecked?
188,The hypothetical modern Oedipus might join some humans of both genders who carp at the most radical-seeming alterations of the language.
189,More subtle and less readily articulated objections probably exist.
190,"But few proponents of nonsexist language are ignorant of the claims of etymology, of custom, of aesthetics, or even of the inappropriateness of gender-neutral terms in a nongender neutral world."
191,"For them, as for most feminists, political considerations are primary."
192,Language is viewed not only as the product but the shaper of culture and as such is able to perpetuate or discourage discrimination or oppression.
193,"Attitudes toward women, often assumed to be natural and hence sacred, are not easily changed."
194,"But most feminists, even recognizing the influence of preverbal and nonverbal forces and various sexist institutions, see acceptance of sexist language as an insidious poison."
195,"This retreading of English, this adjusting of it, altering it, bandaging, and plastering it to promote a particular vision of society is the most widely perceived activity of feminists interested in language."
196,"But it is arguably the simplest philosophically and, though this is relatively unimportant, the least attractive."
197,"Rukeyser's Sphinx was not very affable, either."
198,"Yet this is but one aspect of gender and linguistics, a subject that has its own conferences, bibliographies, and college courses."
199,"As literary critics, feminists look not only at images of women in literature but at women as writers and readers."
200,"So those interested in language look at women not only as writers and readers, but also as speakers and listeners."
201,"Such inquiry is less direct and more exploratory than nonsexist language promotion, but is no less political."
202,"Some theorists describe women's relation to language as primarily a product of patriarchal oppression; others, usually acknowledging oppression, focus on women's strengths."
203,Does the close adherence of British women of all classes to accepted proper norms suggest women's repression?
204,"Identified by early feminist linguist Robin Lakoff, women's frequent use of tag endings has been both discounted by some but not all empirical studies and re-examined by other studies that distinguish different kinds of tag endings used by men and women."
205,"Those feminists who emphasize success within the world as we know it tend to encourage women to purge their speech of tag endings and to retrain themselves to speak in what is perceived as a more masculine, more assertive way."
206,Such analyses of language pass as traditional in form if not in content.
207,"The answers often appear in measured, academic prose."
208,"When offered by feminists, the answers frequently appear in a style that is marked by word play dependent on written forms; a style that is unconventional, mannered, at its best witty; a style that suggests alternatives to those styles that feminists would designate male-influenced."
209,"Yet, they imply, conventional lexicographers are not objective, though they neither recognize nor admit it."
210,Other significant editorial practices: the Feminist Dictionary lexicogaphers refuse to label a word like herstory a coinage.
211,"The energetic defining and developing of a woman's language, the inevitable doubting and questioning of it, is energized by the work of French feminists, and is displayed in the verbal acrobatics of radical feminist theologian Mary Daly."
212,Women's language is often metonymy for women's literary style.
213,"The discussion by women about women's language is lively; the discussion of the related and complementary topic, women's silence, is elaborate, complex, and a bit sad."
214,Feminists have much to say about men's claim that women talk too much.
215,"To many, it is significant that the privilege of naming, granted to Adam, was denied to Eve."
216,Modern feminists interested in language may be sisters to Rukeyser's Sphinx.
217,"The Sphinx may be silent, as in many traditions, or not, but she and Oedipus, who did not recognize parents of either gender, probably do not understand the same language."
218,"It ill behooves us to be unfair to any segment of the population, and it is not only immoral but illegal to discriminate against people on virtually any basis."
219,"By this time the humor, if there was any there to begin with, has worn very thin, indeed, and the end of it would be welcome."
220,"Then, too, there have been the campaigners who have gone to what some regard as opposite extremes: if the head of a committee is known to be a man or a woman, then chairman or chairwoman must surely be the proper denotation; if the sex of the person is not known, then chairperson , though awkward-sounding, is the preferred form."
221,But it is patently ridiculous to refer to someone whose sex is known as a chairperson .
222,"Chair should be reserved for the office of the chairperson, not the person holding the office."
223,"Yet, many prefer chair to chairperson on the grounds of brevity and because it avoids the awkwardness of the longer alternative."
224,"The final sentence is about as valid as would be the comment that nobody understands such an injunction as an order to write the address of the chairperson on a dozen envelopes, either."
225,"Moreover, what are the contexts in which the citations were found?"
226,There are many difficulties inherent in adducing citational evidence unsupported by frequency.
227,"Certainly, in the case of the Crown , as ample evidence will show, reference is so made specifically to avoid mentioning a particular regent and not as a figure of speech employed for rhetorical effect."
228,"In both cases, the point is exactly opposite that identified by Graham: it is the position, institution, authority, etc."
229,"By the same token, when people address the chair , they address the office, whoever might hold it, and not the incumbent individual."
230,But there are two elements of their argument that merit further comment.
231,"The first is that I find their interpretation of the evidence often skewed; the second is that while adjustment to lexicon, which they have always strongly advocated, is one thing, modification of grammar is another."
232,"Though the term may once have been anomalous when used of a young woman, today it is a recognized common-gender noun, and the next round of dictionaries will no doubt add their authority to the change."
233,"Thus the evidence at the RHD offices indicated the need for reinforcement of the notion of maleness associated with the word, not, as M&S suggest, a trend toward epicenism."
234,"On the other hand, I do not have the hard evidence at hand and assume that the RHD does."
235,To go on using in its former sense a word whose meaning has changed is counterproductive.
236,"The point is not that we should recognize semantic change, but that in order to be precise, in order to be understood, we must."
237,"When will people learn that dictionaries are not the product of the collective imaginations of those who prepare them or the manifestations of the dreams of a single lexicographer but the result of lengthy, painstaking research to determine how the language is being used, the analysis and codification of the results, and then their organization into a usable reference source?"
238,"Of course, if a researcher tampers with the evidence, making a unilateral, unsupported claim or assumption that a word means something that it does not, then that does not constitute semantic change: it is what is known as dirty work at the crossroads, and M&S are indulging in a bit of mischief by suggesting that semantic change either has taken place or is taking place because they have some evidence that a certain change in usage had crept in."
239,"To be sure, it is the most common meaning, which is why it is listed first."
240,But one must contend not only with the way the word might be used today but with the evidence of centuries of culture reflected in billions upon billions upon billions of words of text all of which shape the way we think and speak.
241,"There is nothing wrong with trying to change that shape, and advocates of nonsexist English have worked miracles in the short time since they have succeeded in making their concerns known."
242,But to deny that the oblique senses of man are still very much with us is mere optimistic folly.
243,"But grammar enters the picture here, too, and dictionaries are remiss in syntactic description of how the language works in comparison with what its words mean, how they are spelled and pronounced, and where they came from."
244,No normal speaker of English encountering Man wants but little here below wonders—except facetiously—why women have been ignored.
245,"Cartoonists might depict a child asking a parent about Neanderthal women, but that is recognizably a joke that depends for its humor on the characterization of the questioner as a fool: that it is a child is irrelevant; it might be Edith Bunker."
246,"Is it possible that M&S are serious in invoking Archie Bunker, the archbigot of all time, as a model of understanding and a paragon of modern English usage?"
247,"There are many thousands of such jokes in every language, for they depend for their humor on polysemy or homonymy, which exists in all languages."
248,"Although they do not label the supposedly generic meaning of man obsolete, they write some definitions as though we all know it is."
249,How can the definers be sure we will know without being told that a man-about-town is never a woman?
250,"On the face of it, one might dismiss this question as just so much rubbish and wonder how people of the intelligence of M&S could possibly have come to frame it."
251,Using it to bolster an argument is plainly a mistake.
252,"Unfortunately, the mistake is compounded and perpetuated by dragging in expressions like man in the street, the average working man , and others, and, as a result, the entire argument degenerates."
253,"There are actually two things at work in the Handbook : one is a genuine concern, when a generalized statement about people is to be made, about being unfair to women through the use of references which, though denotatively neutral, carry the strong scent of maleness."
254,"If that is what M&S mean, why don't they just say so?"
255,"The other thing is that generalized statements employing reference to males constitute a not-so-subtle form of propaganda interpretable either as pro-male, anti-female, or both."
256,"As a male reader, I get strong vibrations from this book that the authors advocate the paranoid view that everything in the language that is not exactly as they would like it to be is the result of a gigantic hate program against women."
257,"In that context, one is given to wonder about the circumstances in languages that have grammatical, not sex gender."
258,"The remainder of Chapter 1 is mainly a catalogue of misinterpretations, aberrations, and plain errors regarding the use of man as a generic."
259,"It is indeed a pity that the authors persist in expressing their ideas as they do, for were they more practical and not so aggressively all-inclusive in their condemnation of the slightest hint of maleness, they would probably serve their cause more successfully."
260,"In British English it is no longer considered a solecism to use the plurals they, their, them, theirs as a generalized pronoun for words like eyeryone, everybody, anyone, anybody , etc."
261,It scarcely needs pointing out that the British usage was not brought about by any sense of justice toward women but by the apparent fact that the people in Britain are not quite as uptight about usage as the Americans.
262,"Chapter 3, Generalizations, treats with good sense methods that can be employed to avoid sexism in a wide variety of constructions."
263,"Alas, M&S continue to take up the cudgel, carping against writing which, in some cases, antedates recognition of a problem: it is like nattering on about how awful the Romans were because they condoned slavery; rather a waste of space, time, and motion, Wot?"
264,Much that might have been offered with sober good advice here is contaminated by an obsessive concern with the identification of the sex of the perpetrator of past injustices.
265,The approach is vindictive and castigatory.
266,"Other libertarian movements advocate similar policies: it is not enough that wrongs be righted; the discrimination and other injustices suffered by past generations, back through the ages, must be avenged, and the descendants of those responsible must be made to pay for those crimes and somehow to compensate the descendants of the sufferers."
267,"Such policies are not only asinine, they are—and here I have found another appropriate place for the buzz word of the decade— counterproductive: the energies expended on vengeance are entirely wasted and should be channeled to changing the present system to ensure that they are not continued."
268,"Although we continue to track down criminals who did their dirt in WWII, we do business with and carry on other normal relations with the descendants of the Nazis and of those who bombed Pearl Harbor."
269,The sins of our forebears should not be visited upon us.
270,"Specific cliches— working wife, working mother, house-wife , etc."
271,"My own attitude is that I find such terms not in the least denigrating: Why should a woman object to being called a heroine, a divorcée, or an actress any more than being called a female or a woman?"
272,The same is true of heroine and thousands of other words.
273,"The book concludes with A Brief Thesaurus, which lists a few offending words and their suggested alternatives."
274,"If this were indeed to have been a handbook , users would have found a longer list more useful."
275,"On the last page is a short biographical note about the authors in which, through pronoun references, we learn that both are women."
276,"As for belly dancers, not only have I never heard of a male belly dancer but find the very idea more exotic than erotic."
277,"Put another way, are not these very questions sexist?"
278,"In one sense they are, but if people were to pay hard cash to watch a belly dancer only to find that it was a man, I think they might have some justification in asking for their money back."
279,There would probably be little chance of a refund if the place were run by a feminist.
280,"The entries themselves are more or less helpful, depending on the information one is seeking."
281,The treatment ranges from an explanation of a term to a list of alternatives.
282,"See Appendix A for the rationale on avoiding sex-linked metaphors, expressions and figures."
283,"However, their cumulative effect tends to be overpowering."
284,"This dictionary lists alternatives for many of these expressions, not so that they can be removed from the language, but so that you can attempt to balance your writing and speaking with both female and male images or use alternatives when gender-fairness is not possible."
285,"In addition, there are times when it is awkward and illogical to use a male metaphor for a woman."
286,"It is hard to imagine anyone, regardless of sex, enjoying being referred to as a Johnny-come-lately ."
287,"At Bluebeard , advice is given to avoid reference to him completely, which is understandable on nonlinguistic grounds, too."
288,Leotards and daguerreotypes will have to go.
289,"For the most part, as might be expected, Maggio's alternatives and equivalents are phrasal definitions which, if assiduously applied, would effectively sterilize all writing."
290,"The interesting and useful entries are those in which the author explains, without the frenetic anguish that pervades the M&S book, why the term is offensive."
291,"The Handbook is a polemical work; despite its title, it is not organized the way a handbook for writers, editors, etc."
